"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"09/29/2023 02:00:00 PM","subway","284","Nassau Av (G)","Brooklyn","metrocard","Metrocard - Other","2","0","40.724636","-73.95128","POINT (-73.95128 40.724636)"
"09/29/2023 07:00:00 PM","subway","407","Astor Pl (6)","Manhattan","metrocard","Metrocard - Full Fare","48","0","40.730053","-73.99107","POINT (-73.99107 40.730053)"
"09/29/2023 05:00:00 PM","subway","221","21 St-Queensbridge (F)","Queens","metrocard","Metrocard - Unlimited 7-Day","16","0","40.754204","-73.94283","POINT (-73.94283 40.754204)"
"09/29/2023 11:00:00 PM","subway","355","Winthrop St (2,5)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","2","0","40.65665","-73.9502","POINT (-73.9502 40.65665)"
"09/29/2023 07:00:00 AM","subway","452","90 St-Elmhurst Av (7)","Queens","metrocard","Metrocard - Unlimited 7-Day","294","0","40.74841","-73.87661","POINT (-73.87661 40.74841)"
"09/29/2023 12:00:00 PM","subway","153","125 St (A,C,B,D)","Manhattan","metrocard","Metrocard - Other","57","2","40.811108","-73.95235","POINT (-73.95235 40.811108)"
"09/29/2023 01:00:00 PM","subway","260","75 Av (E,F)","Queens","metrocard","Metrocard - Other","3","0","40.71833","-73.837326","POINT (-73.837326 40.71833)"
"09/29/2023 11:00:00 AM","subway","20","City Hall (R,W)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","19","0","40.713284","-74.00698","POINT (-74.00698 40.713284)"
"09/29/2023 09:00:00 PM","subway","80","121 St (J,Z)","Queens","metrocard","Metrocard - Unlimited 7-Day","10","0","40.700493","-73.82829","POINT (-73.82829 40.700493)"
"09/29/2023 07:00:00 AM","subway","624","Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","Manhattan","metrocard","Metrocard - Fair Fare","7","0","40.71411","-74.00858","POINT (-74.00858 40.71411)"
"09/29/2023 10:00:00 AM","subway","266","Elmhurst Av (M,R)","Queens","metrocard","Metrocard - Other","18","0","40.742455","-73.88202","POINT (-73.88202 40.742455)"
"09/29/2023 07:00:00 PM","subway","168","Spring St (C,E)","Manhattan","metrocard","Metrocard - Fair Fare","5","0","40.726227","-74.00374","POINT (-74.00374 40.726227)"
"09/29/2023 10:00:00 AM","subway","57","W 8 St-NY Aquarium (F,Q)","Brooklyn","omny","OMNY - Full Fare","48","0","40.576126","-73.97594","POINT (-73.97594 40.576126)"
"09/29/2023 06:00:00 AM","subway","360","Pelham Bay Park (6)","Bronx","metrocard","Metrocard - Full Fare","113","61","40.852463","-73.82812","POINT (-73.82812 40.852463)"
"09/29/2023 12:00:00 AM","subway","323","Christopher St-Sheridan Sq (1)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","19","0","40.73342","-74.00291","POINT (-74.00291 40.73342)"
"09/29/2023 11:00:00 PM","subway","614","59 St-Columbus Circle (A,B,C,D,1)","Manhattan","metrocard","Metrocard - Full Fare","152","4","40.768295","-73.981735","POINT (-73.981735 40.768295)"
"09/29/2023 06:00:00 PM","subway","194","111 St (A)","Queens","metrocard","Metrocard - Unlimited 7-Day","4","0","40.68433","-73.83216","POINT (-73.83216 40.68433)"
"09/29/2023 08:00:00 PM","subway","10","49 St (N,R,W)","Manhattan","metrocard","Metrocard - Full Fare","50","0","40.7599","-73.98414","POINT (-73.98414 40.7599)"
"09/29/2023 05:00:00 PM","subway","278","Jamaica Center-Parsons/Archer (E,J,Z)","Queens","metrocard","Metrocard - Unlimited 30-Day","56","0","40.70215","-73.80111","POINT (-73.80111 40.70215)"
"09/29/2023 08:00:00 PM","subway","426","E 180 St (2,5)","Bronx","metrocard","Metrocard - Students","4","0","40.841892","-73.87349","POINT (-73.87349 40.841892)"
"09/29/2023 11:00:00 AM","subway","422","Burke Av (2,5)","Bronx","omny","OMNY - Full Fare","16","0","40.871357","-73.867165","POINT (-73.867165 40.871357)"
"09/29/2023 07:00:00 PM","subway","54","Sheepshead Bay (B,Q)","Brooklyn","metrocard","Metrocard - Full Fare","22","2","40.586895","-73.954155","POINT (-73.954155 40.586895)"
"09/29/2023 04:00:00 PM","subway","46","Cortelyou Rd (Q)","Brooklyn","metrocard","Metrocard - Full Fare","9","0","40.640926","-73.96389","POINT (-73.96389 40.640926)"
"09/29/2023 01:00:00 PM","subway","255","169 St (F)","Queens","metrocard","Metrocard - Students","26","3","40.71047","-73.7936","POINT (-73.7936 40.71047)"
"09/29/2023 05:00:00 AM","subway","424","Pelham Pkwy (2,5)","Bronx","metrocard","Metrocard - Seniors & Disability","7","1","40.857193","-73.867615","POINT (-73.867615 40.857193)"
"09/29/2023 11:00:00 AM","subway","155","Cathedral Pkwy (110 St) (C,B)","Manhattan","metrocard","Metrocard - Full Fare","44","8","40.800602","-73.95816","POINT (-73.95816 40.800602)"
"09/29/2023 06:00:00 AM","subway","118","3 Av (L)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","5","0","40.73285","-73.98612","POINT (-73.98612 40.73285)"
"09/29/2023 06:00:00 AM","subway","446","Morris Park (5)","Bronx","omny","OMNY - Full Fare","90","0","40.854362","-73.8605","POINT (-73.8605 40.854362)"
"09/29/2023 08:00:00 PM","subway","311","86 St (1)","Manhattan","omny","OMNY - Seniors & Disability","3","0","40.788643","-73.97622","POINT (-73.97622 40.788643)"
"09/29/2023 10:00:00 AM","subway","294","238 St (1)","Bronx","metrocard","Metrocard - Seniors & Disability","6","0","40.884666","-73.90087","POINT (-73.90087 40.884666)"
"09/29/2023 12:00:00 PM","subway","261","Forest Hills-71 Av (E,F,M,R)","Queens","metrocard","Metrocard - Seniors & Disability","27","4","40.72169","-73.84452","POINT (-73.84452 40.72169)"
"09/29/2023 09:00:00 PM","subway","379","Mosholu Pkwy (4)","Bronx","metrocard","Metrocard - Other","9","0","40.87975","-73.88466","POINT (-73.88466 40.87975)"
"09/29/2023 08:00:00 AM","subway","97","Myrtle Av (M,J,Z)","Brooklyn","metrocard","Metrocard - Seniors & Disability","14","4","40.69721","-73.93565","POINT (-73.93565 40.69721)"
"09/29/2023 03:00:00 AM","subway","122","Graham Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","40.714565","-73.94405","POINT (-73.94405 40.714565)"
"09/29/2023 02:00:00 AM","subway","71","8 Av (N)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","3","0","40.635063","-74.01172","POINT (-74.01172 40.635063)"
"09/29/2023 08:00:00 AM","subway","2","Astoria Blvd (N,W)","Queens","omny","OMNY - Seniors & Disability","1","1","40.77026","-73.91785","POINT (-73.91785 40.77026)"
"09/29/2023 06:00:00 PM","subway","438","135 St (2,3)","Manhattan","metrocard","Metrocard - Seniors & Disability","2","1","40.814228","-73.94077","POINT (-73.94077 40.814228)"
"09/29/2023 07:00:00 PM","subway","135","Livonia Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","6","0","40.66404","-73.90057","POINT (-73.90057 40.66404)"
"09/29/2023 01:00:00 AM","subway","292","Fulton St (G)","Brooklyn","metrocard","Metrocard - Full Fare","1","0","40.68712","-73.97537","POINT (-73.97537 40.68712)"
"09/29/2023 02:00:00 PM","subway","329","Rector St (1)","Manhattan","metrocard","Metrocard - Other","3","0","40.70751","-74.01379","POINT (-74.01379 40.70751)"
"09/29/2023 01:00:00 PM","subway","395","103 St (6)","Manhattan","omny","OMNY - Seniors & Disability","1","0","40.7906","-73.94748","POINT (-73.94748 40.7906)"
"09/29/2023 04:00:00 PM","subway","279","Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","Queens","metrocard","Metrocard - Students","50","6","40.700485","-73.80797","POINT (-73.80797 40.700485)"
"09/29/2023 01:00:00 PM","subway","392","125 St (4,5,6)","Manhattan","metrocard","Metrocard - Fair Fare","38","2","40.80414","-73.93759","POINT (-73.93759 40.80414)"
"09/29/2023 05:00:00 PM","subway","151","145 St (A,C,B,D)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","114","0","40.824783","-73.944214","POINT (-73.944214 40.824783)"
"09/29/2023 06:00:00 PM","subway","362","Middletown Rd (6)","Bronx","metrocard","Metrocard - Full Fare","3","0","40.843864","-73.83632","POINT (-73.83632 40.843864)"
"09/29/2023 12:00:00 AM","subway","476","86 St (Q)","Manhattan","metrocard","Metrocard - Fair Fare","2","0","40.77789","-73.95179","POINT (-73.95179 40.77789)"
"09/29/2023 03:00:00 AM","subway","432","Prospect Av (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","2","0","40.819584","-73.90177","POINT (-73.90177 40.819584)"
"09/29/2023 08:00:00 PM","subway","622","Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","Manhattan","omny","OMNY - Other","4","0","40.713066","-74.00413","POINT (-74.00413 40.713066)"
"09/29/2023 09:00:00 AM","subway","283","Greenpoint Av (G)","Brooklyn","omny","OMNY - Full Fare","141","0","40.731354","-73.95445","POINT (-73.95445 40.731354)"
"09/29/2023 07:00:00 AM","subway","34","53 St (R)","Brooklyn","metrocard","Metrocard - Full Fare","164","8","40.64507","-74.01403","POINT (-74.01403 40.64507)"
"09/29/2023 11:00:00 PM","subway","287","Flushing Av (G)","Brooklyn","omny","OMNY - Full Fare","5","0","40.70038","-73.95023","POINT (-73.95023 40.70038)"
"09/29/2023 06:00:00 AM","subway","14","23 St (R,W)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","3","0","40.741302","-73.98934","POINT (-73.98934 40.741302)"
"09/29/2023 11:00:00 PM","subway","445","Pelham Pkwy (5)","Bronx","metrocard","Metrocard - Full Fare","2","0","40.858986","-73.85536","POINT (-73.85536 40.858986)"
"09/29/2023 09:00:00 AM","subway","443","Baychester Av (5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","4","0","40.878662","-73.83859","POINT (-73.83859 40.878662)"
