"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"05/11/2024 02:00:00 AM","subway","347","Saratoga Av (3)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","2","0","40.661453","-73.91633","POINT (-73.91633 40.661453)"
"05/11/2024 01:00:00 AM","subway","47","Newkirk Plaza (B,Q)","Brooklyn","metrocard","Metrocard - Fair Fare","2","0","40.635082","-73.96279","POINT (-73.96279 40.635082)"
"05/11/2024 07:00:00 AM","subway","54","Sheepshead Bay (B,Q)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","9","0","40.586895","-73.954155","POINT (-73.954155 40.586895)"
"05/11/2024 07:00:00 AM","subway","365","Castle Hill Av (6)","Bronx","metrocard","Metrocard - Full Fare","8","2","40.834255","-73.85122","POINT (-73.85122 40.834255)"
"05/11/2024 02:00:00 AM","subway","159","81 St-Museum of Natural History (C,B)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","1","0","40.781433","-73.972145","POINT (-73.972145 40.781433)"
"05/11/2024 09:00:00 AM","subway","616","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","Queens","metrocard","Metrocard - Students","12","3","40.74685","-73.891335","POINT (-73.891335 40.74685)"
"05/11/2024 09:00:00 AM","subway","144","Dyckman St (A)","Manhattan","metrocard","Metrocard - Full Fare","20","0","40.86549","-73.92727","POINT (-73.92727 40.86549)"
"05/11/2024 07:00:00 PM","subway","619","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","113","0","40.725914","-73.99466","POINT (-73.99466 40.725914)"
"05/11/2024 02:00:00 PM","subway","75","20 Av (N)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","10","0","40.61741","-73.98502","POINT (-73.98502 40.61741)"
"05/11/2024 05:00:00 AM","subway","384","Burnside Av (4)","Bronx","metrocard","Metrocard - Full Fare","25","1","40.853455","-73.907684","POINT (-73.907684 40.853455)"
"05/11/2024 12:00:00 PM","subway","619","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","Manhattan","metrocard","Metrocard - Full Fare","99","2","40.725914","-73.99466","POINT (-73.99466 40.725914)"
"05/11/2024 12:00:00 PM","subway","143","Inwood-207 St (A)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","38","0","40.868073","-73.9199","POINT (-73.9199 40.868073)"
"05/11/2024 09:00:00 PM","subway","280","Jamaica-Van Wyck (E)","Queens","metrocard","Metrocard - Full Fare","12","0","40.702564","-73.81686","POINT (-73.81686 40.702564)"
"05/11/2024 11:00:00 PM","subway","456","61 St-Woodside (7)","Queens","metrocard","Metrocard - Unlimited 30-Day","14","0","40.74563","-73.902985","POINT (-73.902985 40.74563)"
